Date,MA,PYPL,V
2022-01-27,342.3504333496094,157.74533081054688,199.61817932128906
2022-01-28,373.584228515625,163.1428680419922,220.7758331298828
2022-01-31,377.3638916015625,171.54344177246094,219.00384521484375
2022-02-01,382.9113464355469,175.39453125,224.9976806640625
2022-02-02,387.491943359375,132.26425170898438,227.96072387695312
2022-02-03,380.9678039550781,124.01332092285156,224.2036590576172
2022-02-04,373.28143310546875,125.7892074584961,221.15347290039062
2022-02-07,367.3531494140625,121.1299819946289,219.9624481201172
2022-02-08,365.6341552734375,119.98263549804688,220.71775817871094
2022-02-09,372.47076416015625,122.65645599365234,223.55490112304688
2022-02-10,365.6537170410156,118.74549102783203,218.79759216308594
2022-02-11,361.1414489746094,115.02409362792969,217.92469787597656
2022-02-14,365.4291076660156,113.85679626464844,218.55511474609375
2022-02-15,372.6368713378906,115.1937026977539,220.96044921875
2022-02-16,373.994384765625,110.28504943847656,221.93031311035156
2022-02-17,364.9797668457031,104.95736694335938,217.8470916748047
2022-02-18,361.3172912597656,103.41094207763672,215.9849090576172
2022-02-22,359.6960754394531,102.93204498291016,214.6561737060547
2022-02-23,352.80084228515625,100.48770141601562,209.44784545898438
2022-02-24,360.7605895996094,104.77777862548828,210.7572021484375
2022-02-25,360.4773254394531,110.68412780761719,212.6678924560547
2022-02-28,352.400390625,111.67184448242188,209.61270141601562
2022-03-01,336.441650390625,106.26435089111328,202.6780242919922
2022-03-02,336.06072998046875,106.3641128540039,202.20274353027344
2022-03-03,333.0330810546875,101.10626220703125,200.99038696289062
2022-03-04,323.041748046875,99.67957305908203,194.25930786132812
2022-03-07,305.61810302734375,93.39409637451172,184.95811462402344
2022-03-08,306.9951477050781,94.68112182617188,185.93771362304688
2022-03-09,320.47314453125,99.98885345458984,193.74530029296875
2022-03-10,317.0158386230469,98.32270812988281,192.00917053222656
2022-03-11,317.2110900878906,96.3472671508789,190.78717041015625
2022-03-14,320.92242431640625,96.6465835571289,194.29818725585938
2022-03-15,327.182861328125,100.2282943725586,199.93321228027344
2022-03-16,336.6369323730469,107.67108917236328,205.4906768798828
2022-03-17,338.3558654785156,111.90132141113281,207.02313232421875
2022-03-18,341.9206848144531,118.49606323242188,212.51272583007812
2022-03-21,337.5159912109375,114.38557434082031,210.50498962402344
2022-03-22,341.373779296875,117.59814453125,211.89195251464844
2022-03-23,334.1952819824219,114.38557434082031,208.21607971191406
2022-03-24,341.1979675292969,115.7823486328125,210.7669219970703
2022-03-25,340.8757019042969,113.49762725830078,211.85317993164062
2022-03-28,342.3113708496094,115.90206146240234,214.1227264404297
2022-03-29,358.9732971191406,120.9005126953125,221.25143432617188
2022-03-30,353.7872314453125,118.21671295166016,217.20692443847656
2022-03-31,349.04058837890625,115.38326263427734,215.09259033203125
2022-04-01,355.47686767578125,116.40090942382812,219.54437255859375
2022-04-04,358.3482666015625,121.57894134521484,220.88284301757812
2022-04-05,354.8420104980469,117.37865447998047,219.2825164794922
2022-04-06,345.2999572753906,112.23055267333984,212.4157257080078
